mouse_id,sex,treatment,genotype,cell_id,branch_id,multibranch_id,soma_depth,fov,day_-3,day_-1,day_1,day_3
KO 3043,f,psilocybin,ko,NA,NA,NA,NA,FOV1-1,1.246452,1.140950,1.196827,1.369615
KO 3043,f,psilocybin,ko,NA,NA,NA,NA,FOV2-1,1.274344,1.160140,1.308935,1.292246
KO 3043,f,psilocybin,ko,NA,NA,NA,NA,FOV3-1,1.107178,1.032813,0.938953,0.856473
KO 3043,f,psilocybin,ko,NA,NA,NA,NA,FOV6-1,0.958823,0.913724,0.891053,0.939094
KO 3043,f,psilocybin,ko,NA,NA,NA,NA,FOV7-1,1.112623,0.917742,0.857660,0.850092
KO 3044,f,psilocybin,ko,cell4,cell4_1,cell4_1,610,FOV2-1,1.277155,1.230509,1.289565,1.439834
KO 3044,f,psilocybin,ko,cell4,cell4_2,cell4_2,610,FOV3-1,1.361419,1.252290,1.212976,1.113970
KO 3044,f,psilocybin,ko,cell2,cell2_1,NA,690,FOV5-1,1.404083,1.417231,1.231158,1.358294
KO 3044,f,psilocybin,ko,cell8,cell8_1,cell8_1,632,FOV7-1,1.105398,1.111191,0.864088,1.240980
KO 3044,f,psilocybin,ko,cell6,cell6_1,cell6_1,620,FOV8-1,1.394469,1.420956,1.386190,1.343406
KO 3044,f,psilocybin,ko,cell7,cell7_1,NA,618,FOV8-2,1.559878,1.503090,1.471930,1.619261
KO 3044,f,psilocybin,ko,cell6,cell6_2,cell6_2,620,FOV9-1,1.462913636,1.387915455,1.542515,1.40049
KO 3044,f,psilocybin,ko,NA,NA,NA,NA,FOV9-2,1.252290,1.094386,1.231770,1.270286
KO 3044,f,psilocybin,ko,cell6,cell6_3,cell6_3,620,FOV10-1,1.507935,1.295868,1.549153,1.393080
KO 3044,f,psilocybin,ko,cell8,cell8_2,cell8_2,632,FOV11-1,1.181800,1.248938,1.081100,1.346720
KO 3042,m,psilocybin,ko,cell1,cell1_1,cell1_1,555,FOV1-1,1.337960,1.418797,1.637116,1.566862
KO 3042,m,psilocybin,ko,NA,NA,NA,NA,FOV1-2,1.106560,1.257477,1.150122,1.060304
KO 3042,m,psilocybin,ko,cell3,cell3_1,NA,673,FOV2-1,1.465592,1.398020,1.438422,1.337220
KO 3042,m,psilocybin,ko,cell2,cell2_1,NA,589,FOV3-1,1.251961,1.278966,1.275446,1.233847
KO 3042,m,psilocybin,ko,cell1,cell1_2,cell1_2,555,FOV4-1,1.310181,1.390198,1.396373,1.161723
KO 3042,m,psilocybin,ko,cell1,cell1_3,cell1_3,555,FOV4-2,1.577168,1.528621,1.332719,1.584814
KO 3042,m,psilocybin,ko,cell7,cell7_1,NA,504,FOV6-1,1.239940,1.220709,1.001367,1.191089
KO 3042,m,psilocybin,ko,NA,NA,NA,NA,FOV6-2,1.042093,1.293731,1.439763,1.078649
KO 3042,m,psilocybin,ko,cell6,cell6_1,NA,570,FOV7-1,1.288323,1.531400,1.195480,1.264475
KO 3042,m,psilocybin,ko,cell4,cell4_1,NA,533,FOV10-1,1.189232,1.431674,1.384281,1.406819
KO 3042,m,psilocybin,ko,NA,NA,NA,NA,FOV10-2,1.106207,0.948480,0.965461,1.337681
KO 3042,m,psilocybin,ko,cell11,cell11_1,NA,750+,FOV11-1,1.364787,1.377986,1.285772,1.596443
KO 807,f,psilocybin,ko,cell2,cell2_1,cell2_1,630,FOV1-1,1.296750,1.134389,1.255583,1.378640
KO 807,f,psilocybin,ko,cell2,cell2_2,cell2_2,630,FOV3-1,1.389090,1.179013,1.263581,1.057778
KO 807,f,psilocybin,ko,cell1,cell1_1,cell1_1,750,FOV6-1,1.154725,1.248338,1.093260,1.476479
KO 807,f,psilocybin,ko,cell1,cell1_2,cell1_2,750,FOV9-1,1.429610,1.372379,1.362068,1.213940
KO 807,f,psilocybin,ko,cell2,cell2_3,cell2_3,630,FOV10-1,1.482165,1.374482,1.438199,1.511510
KO 807,f,psilocybin,ko,cell1,cell1_3,cell1_3,750,FOV12-1,1.347385,1.444760,1.398020,1.406089
KO 807,f,psilocybin,ko,cell4,cell4_1,cell4_1,630,FOV17-1,1.062429,1.105325,0.955231,0.798536
KO 807,f,psilocybin,ko,cell4,cell4_2,cell4_2,630,FOV19-1,0.960418,1.302308,1.198568,1.253188
KO 807,f,psilocybin,ko,cell4,cell4_3,cell4_3,630,FOV19-2,1.101620,1.147097,1.257054,1.111006
KO 807,f,psilocybin,ko,cell4,cell4_4,cell4_4,630,FOV21-1,1.137023,1.419756,1.428648,1.508980
KO 807,f,psilocybin,ko,NA,NA,NA,NA,FOV23-1,1.371299,1.089840,1.278931,1.088510
KO 807,f,psilocybin,ko,cell5,cell5_1,cell5_1,780+,FOV24-1,1.499643,1.521932,1.568899,1.612685
KO 807,f,psilocybin,ko,cell4,cell4_5,cell4_5,630,FOV24-2,1.488512,1.235247,1.530028,1.521969
KO 807,f,psilocybin,ko,cell5,cell5_2,cell5_2,780+,FOV28-1,1.194530,1.190160,1.152996,1.177430
KO 807,f,psilocybin,ko,cell7,cell7_1,NA,500,FOV29-1,1.376613,1.323246,1.322582,1.386729
KO 807,f,psilocybin,ko,cell9,cell9_1,NA,630,FOV34-1,1.409012,1.146080,1.476948,1.366471
KO 807,f,psilocybin,ko,cell11,cell11_1,NA,560,FOV36-1,1.396013,1.315584,1.302102,1.397148
KO 835,m,psilocybin,ko,NA,NA,NA,NA,FOV1-1,1.127143,1.089270,1.085004,1.017640
KO 835,m,psilocybin,ko,cell11,cell11_1,NA,614,FOV4-1,1.277484,1.286300,1.148962,1.180850
KO 835,m,psilocybin,ko,NA,NA,NA,NA,FOV7-1,1.122170,1.090700,1.107600,1.113833
KO 835,m,psilocybin,ko,cell9,cell9_1,NA,750+,FOV8-1,1.334329,1.257990,1.188811,1.409753
KO 835,m,psilocybin,ko,cell7,cell7_1,NA,580,FOV11-1,1.273190,1.251720,1.189780,1.190746
KO 835,m,psilocybin,ko,NA,NA,NA,NA,FOV12-1,1.501380,1.401372,1.367763,1.562769
KO 835,m,psilocybin,ko,cell5,cell5_1,cell5_1,620,FOV14-1,1.385579,1.463578,1.340024,1.420942
KO 835,m,psilocybin,ko,cell5,cell5_2,cell5_2,620,FOV15-1,1.235247,1.241263,1.314610,1.513122
KO 835,m,psilocybin,ko,cell1,cell1_1,NA,580,FOV16-1,1.255858,1.502196,1.272359,1.272050
KO 835,m,psilocybin,ko,cell3,cell3_1,cell3_1,610,FOV18-1,1.011383,0.972254,1.002291,1.060770
KO 835,m,psilocybin,ko,cell2,cell2_1,NA,590,FOV19-1,1.196073,1.200111,1.279090,1.203164
KO 835,m,psilocybin,ko,cell3,cell3_2,cell3_2,610,FOV19-2,1.454418,1.399502,1.228688,1.426013
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV1-1,1.251673,1.352610,1.465122,1.157607
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV2-1,1.448302,1.201346,1.466990,1.474970
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV7-1,1.089665,1.097002,1.140388,1.152304
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV9-1,1.247624,1.152564,1.101071,1.057709
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV11-1,1.347946,1.238593,1.238144,1.288846
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV12-1,1.199522,1.098944,1.210712,1.093593
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV13-1,1.222121,1.139596,1.205796,1.130931
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV15-1,1.041352,0.934542,0.964711,1.089599
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV18-1,1.159912,1.177899,1.226081,1.168145
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV18-2,1.166801,1.127490,1.225394,1.165428
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV20-1,1.000730,1.101810,0.947492,1.01422
KO 903,m,psilocybin,ko,NA,NA,NA,NA,FOV21-1,1.257759,1.280777,1.30879125,1.247702857
KO 3045,f,saline,ko,NA,NA,NA,NA,FOV1-1,1.148550,1.227590,1.238881,1.364851
KO 3045,f,saline,ko,NA,NA,NA,NA,FOV6-1,1.150197,1.235260,1.295060,1.252839
KO 3045,f,saline,ko,NA,NA,NA,NA,FOV8-1,1.159553,1.136447,1.142038,1.132632
KO 3139,f,saline,ko,cell1,cell1_1,cell1_1,670,FOV2-1,1.011289,1.059836,1.164890,1.233971
KO 3139,f,saline,ko,cell1,cell1_2,cell1_2,670,FOV2-2,1.098409,1.236729,1.361176,1.064190
KO 3139,f,saline,ko,NA,NA,NA,NA,FOV4-1,1.288517,1.166046,1.258712,1.192336
KO 3139,f,saline,ko,cell2,cell2_1,cell2_1,601,FOV8-1,1.169627,1.159356,0.929646,1.036165
KO 3139,f,saline,ko,cell2,cell2_2,cell2_2,601,FOV8-2,1.605725,1.655125,1.379495,1.417780
KO 3139,f,saline,ko,cell4,cell4_1,NA,630,FOV10-1,1.023750,1.004616,1.073103,0.990860
KO 3139,f,saline,ko,cell3,cell3_1,NA,670,FOV9-1,1.139658,1.276002,1.114711,1.092638
KO 3139,f,saline,ko,NA,NA,NA,NA,FOV16-1,1.127143,1.257936,1.132848,0.955714
KO 3041,m,saline,ko,cell1,cell1_1,cell1_1,720,FOV1-1,1.554960,1.625450,1.424430,1.512875
KO 3041,m,saline,ko,NA,NA,NA,NA,FOV3-1,1.327378,1.458182,1.580624,1.510229
KO 3041,m,saline,ko,cell1,cell1_2,cell1_2,720,FOV5-1,1.169016,1.322509,1.138670,1.129143
KO 823,f,saline,ko,cell2,cell2_1,NA,520,FOV5-1,1.159447,1.312558,1.228671,1.403125
KO 823,f,saline,ko,cell1,cell1_1,cell1_1,820,FOV6-1,1.289669,1.257230,1.365340,1.203219
KO 823,f,saline,ko,cell1,cell1_2,cell1_2,820,FOV9-1,1.171329,1.208139,1.095754,1.158739
KO 823,f,saline,ko,cell3,cell3_1,cell3_1,730,FOV11-1,1.111500,1.125438,1.095198,1.168839
KO 823,f,saline,ko,cell3,cell3_2,cell3_2,730,FOV12-1,1.341780,1.021630,1.255995,1.307124
KO 823,f,saline,ko,cell3,cell3_3,cell3_3,730,FOV16-1,1.364469,1.435450,1.473450,1.425025
KO 823,f,saline,ko,cell5,cell5_1,cell5_1,670,FOV21-1,1.355618,1.353560,1.199640,1.220325
KO 823,f,saline,ko,cell5,cell5_2,cell5_2,670,FOV23-1,1.437046,1.393305,1.298356,1.447195
KO 823,f,saline,ko,cell5,cell5_3,cell5_3,670,FOV25-1,1.393629,1.406841,1.242163,1.585090
KO 823,f,saline,ko,cell9,cell9_1,cell9_1,660,FOV31-1,1.560260,1.432309,1.435194,1.584382
KO 823,f,saline,ko,cell9,cell9_2,cell9_2,660,FOV32-1,1.276023,1.372031,1.377025,1.415310
KO 823,f,saline,ko,cell9,cell9_3,cell9_3,660,FOV34-1,1.285106,1.351584,1.241998,1.741526
KO 823,f,saline,ko,cell9,cell9_4,cell9_4,660,FOV35-1,1.301120,1.396785,1.287752,1.351796
KO 823,f,saline,ko,NA,NA,NA,NA,FOV39-1,1.505191,1.377162,1.433036,1.480611
KO 834,m,saline,ko,NA,NA,NA,NA,FOV1-1,1.415722,1.365361,1.465872,1.310270
KO 834,m,saline,ko,NA,NA,NA,NA,FOV2-1,1.333800,1.280201,1.279909,1.231183
KO 834,m,saline,ko,NA,NA,NA,NA,FOV4-1,1.240389,1.229680,1.274745,1.250232
C57 1-2,f,psilocybin,c57,cell6,cell6_1,NA,660,FOV7-1,1.419947,1.335040,1.422769,1.440349
C57 1-2,f,psilocybin,c57,NA,NA,NA,NA,FOV7-2,1.418240,1.390080,1.451840,1.563307
C57 1-2,f,psilocybin,c57,cell5,cell5_1,NA,550,FOV9-1,1.362773,1.259776,1.383936,1.390848
C57 1-2,f,psilocybin,c57,cell4,cell4_1,cell4_1,580,FOV10-1,1.457493,1.461871,1.513354,1.401707
C57 1-2,f,psilocybin,c57,cell3,cell3_1,cell3_1,650,FOV12-1,1.299566,1.182917,1.164320,1.204565
C57 1-2,f,psilocybin,c57,cell2,cell2_1,NA,560,FOV13-1,1.233112,1.077120,1.251840,1.244717
C57 1-2,f,psilocybin,c57,cell3,cell3_2,cell3_2,650,FOV13-2,1.390080,1.212386,1.170560,1.236211
C57 1-2,f,psilocybin,c57,NA,NA,NA,NA,FOV14-1,1.311311,1.233920,1.297749,1.622869
C57 1-2,f,psilocybin,c57,cell9,cell9_1,NA,680,FOV18-1,1.217707,1.065173,1.446400,1.096229
C57 1-2,f,psilocybin,c57,cell8,cell8_1,cell8_1,550,FOV20-1,1.215699,1.233619,1.161836,1.027162
C57 1-2,f,psilocybin,c57,cell3,cell3_3,cell3_3,650,FOV21-1,1.207242,1.101084,1.169363,1.261811
C57 1-2,f,psilocybin,c57,cell4,cell4_2,cell4_2,580,FOV25-1,1.322240,1.211865,1.355360,1.392791
C57 1-2,f,psilocybin,c57,cell7,cell7_1,NA,760,FOV26-1,1.468343,1.663269,1.425687,1.576495
C57 1-2,f,psilocybin,c57,cell8,cell8_2,cell8_2,550,FOV28-1,1.090743,1.522286,1.454649,1.360043
C57 1-2,f,psilocybin,c57,cell17,cell17_1,NA,540,FOV32-1,1.048320,1.192320,1.018197,1.040542
C57 1-2,f,psilocybin,c57,cell18,cell18_1,NA,710,FOV32-2,1.262080,1.415913,1.378133,1.495828
C57 1-2,f,psilocybin,c57,cell16,cell16_1,cell16_1,660,FOV35-1,1.196218,1.191098,1.196800,1.261149
C57 1-2,f,psilocybin,c57,cell16,cell16_2,cell16_2,660,FOV37-1,1.377819,1.291445,1.461760,1.336604
C57 1-2,f,psilocybin,c57,cell14,cell14_1,NA,640,FOV40-1,1.163733,1.238843,1.457920,1.677785
C57 1-2,f,psilocybin,c57,cell12,cell12_1,cell12_1,710,FOV43-1,1.466880,1.307307,1.386589,1.450124
C57 1-2,f,psilocybin,c57,cell12,cell12_2,cell12_2,710,FOV43-2,1.380754,1.304902,1.334745,1.282219
C57 845,f,psilocybin,c57,NA,NA,NA,NA,FOV3-1,1.172236,1.212544,1.044591,1.076338
C57 845,f,psilocybin,c57,NA,NA,NA,NA,FOV6-1,1.038848,1.055040,1.055651,1.115093
C57 845,f,psilocybin,c57,cell4,cell4_1,NA,590,FOV10-1,1.229033,0.977067,1.163422,1.027291
C57 845,f,psilocybin,c57,NA,NA,NA,NA,FOV11-1,1.393440,1.286315,1.410844,1.406578
C57 845,f,psilocybin,c57,cell3,cell3_1,NA,570,FOV11-2,1.276800,1.234560,1.223964,1.389568
C57 845,f,psilocybin,c57,cell2,cell2_1,NA,600,FOV12-1,1.450240,1.449760,1.327360,1.361785
C57 845,f,psilocybin,c57,cell6,cell6_1,NA,500,FOV14-1,1.034938,1.030749,0.852663,0.980821
C57 845,f,psilocybin,c57,NA,NA,NA,NA,FOV21-1,1.360213,1.213440,1.008811,1.094144
C57 812,f,psilocybin,c57,cell12,cell12_1,NA,600,FOV3-1,1.449984,1.436672,1.509973,1.451886
C57 812,f,psilocybin,c57,cell11,cell11_1,NA,550,FOV4-1,1.157353,1.175040,1.295163,1.238869
C57 812,f,psilocybin,c57,NA,NA,NA,NA,FOV6-1,1.348693,1.290634,1.475109,1.416818
C57 812,f,psilocybin,c57,cell8,cell8_1,NA,540,FOV7-1,1.389120,1.290789,1.483804,1.237440
C57 812,f,psilocybin,c57,cell7,cell7_1,NA,560,FOV8-1,1.210197,1.269760,1.353728,1.366016
C57 812,f,psilocybin,c57,cell6,cell6_1,cell6_1,580,FOV9-1,1.088000,1.363692,1.408160,1.369234
C57 812,f,psilocybin,c57,cell6,cell6_2,cell6_2,580,FOV11-1,0.995200,1.002453,1.132800,1.166080
C57 812,f,psilocybin,c57,cell6,cell6_3,cell6_3,580,FOV12-1,1.051648,1.060538,1.158302,1.185621
C57 3165,f,psilocybin,c57,cell3,cell3_1,NA,670,FOV2-1,1.064789,1.107285,1.241449,1.256480
C57 3165,f,psilocybin,c57,cell4,cell4_1,NA,540,FOV5-1,1.253004,1.355869,1.448566,1.510827
C57 3165,f,psilocybin,c57,cell5,cell5_1,NA,560,FOV7-1,1.072640,1.183488,1.222144,1.265152
C57 3165,f,psilocybin,c57,cell1,cell1_1,NA,690,FOV8-1,0.881105,1.048576,0.963151,1.248160
C57 3165,f,psilocybin,c57,cell2,cell2_1,cell2_1,530,FOV10-1,0.945778,0.977920,0.996640,1.050880
C57 3165,f,psilocybin,c57,cell8,cell8_1,cell8_1,570,FOV12-1,1.234042,1.245013,1.356312,1.388335
C57 3165,f,psilocybin,c57,NA,NA,NA,NA,FOV14-1,1.183858,1.340800,1.483435,1.285572
C57 3165,f,psilocybin,c57,cell2,cell2_2,cell2_2,530,FOV16-1,1.512229,1.414010,1.397426,1.439767
C57 3165,f,psilocybin,c57,cell2,cell2_3,cell2_3,530,FOV20-1,1.226831,1.295360,1.272503,1.318880
C57 3165,f,psilocybin,c57,cell8,cell8_2,cell8_2,570,FOV28-1,1.268480,1.421731,1.385600,1.255778
C57 840,m,psilocybin,c57,NA,NA,NA,NA,FOV2-1,1.326400,1.595668,1.522834,1.760320
C57 840,m,psilocybin,c57,NA,NA,NA,NA,FOV1-1,1.013333,1.197280,1.244311,1.345656
C57 811,f,saline,c57,cell1,cell1_1,NA,700,FOV4-1,1.442686,1.519499,1.371879,1.410617
C57 811,f,saline,c57,NA,NA,NA,NA,FOV13-1,1.131672,1.257990,1.440833,1.289546
C57 811,f,saline,c57,cell2,cell2_1,NA,540,FOV14-1,1.309265,1.263096,1.367498,1.321070
C57 1-1,f,saline,c57,NA,NA,NA,NA,FOV1-1,1.380004,1.328134,1.289889,1.352678
C57 1-1,f,saline,c57,NA,NA,NA,NA,FOV3-1,1.210385,1.318431,1.292176,1.308130
C57 1-1,f,saline,c57,cell6,cell6_1,NA,770,FOV6-1,1.065917,0.891290,1.002326,0.958360
C57 1-1,f,saline,c57,cell4,cell4_1,cell4_1,800+,FOV7-1,1.151400,1.120430,1.279840,1.214993
C57 1-1,f,saline,c57,NA,NA,NA,NA,FOV11-1,1.201094,1.394652,1.326615,1.032685
C57 1-1,f,saline,c57,cell4,cell4_2,cell4_2,800+,FOV11-2,1.370027,1.345903,1.371776,1.255113
C57 1-1,f,saline,c57,NA,NA,NA,NA,FOV12-1,1.120674,1.088320,1.077538,1.115542
C57 1-1,f,saline,c57,cell3,cell3_1,NA,730,FOV14-1,1.640305,1.425950,1.322685,1.451125
C57 1-1,f,saline,c57,cell2,cell2_1,NA,660,FOV16-1,1.376170,1.509170,1.416640,1.167816
C57 1-1,f,saline,c57,cell7,cell7_1,cell7_1,690,FOV24-1,1.303454,1.285141,1.099150,1.432071
C57 1-1,f,saline,c57,cell7,cell7_2,cell7_2,690,FOV25-1,1.230266,1.175967,1.153715,1.118461
C57 1-1,f,saline,c57,cell9,cell9_1,NA,760,FOV29-1,1.293971,1.524762,1.245752,1.473355
C57 1-1,f,saline,c57,cell12,cell12_1,NA,610,FOV32-1,1.227453,1.378754,1.421732,1.309409
C57 1-1,f,saline,c57,cell11,cell11_1,NA,740,FOV33-1,1.295515,1.477060,1.411958,1.132400
C57 1-1,f,saline,c57,cell16,cell16_1,NA,640,FOV39-1,1.152461,1.065188,1.176290,1.272873
C57 1-1,f,saline,c57,cell15,cell15_1,NA,770,FOV40-1,1.367831,1.375625,1.288281,1.264816
C57 1-1,f,saline,c57,NA,NA,NA,NA,FOV42-1,1.431950,1.405704,1.475053,1.410524
C57 1-1,f,saline,c57,cell14,cell14_1,cell14_1,660,FOV47-1,1.577177,1.421022,1.364984,1.484779
C57 1-1,f,saline,c57,cell14,cell14_2,cell14_2,660,FOV47-2,1.312296,1.515427,1.527009,1.567627
C57 844,f,saline,c57,cell2,cell2_1,NA,640,FOV7-1,1.275446,1.392021,1.233941,1.212770
C57 844,f,saline,c57,cell3,cell3_1,NA,660,FOV9-1,1.023129,0.993489,0.969475,0.958909
C57 844,f,saline,c57,NA,NA,NA,NA,FOV12-1,0.951303,0.956219,1.079390,0.974415
C57 3163,f,saline,c57,cell1,cell1_1,NA,500,FOV4-1,1.106560,1.189442,1.071706,1.232530
C57 3163,f,saline,c57,cell2,cell2_1,cell2_1,NA,FOV7-1,1.089270,1.279707,1.146080,1.136474
C57 3163,f,saline,c57,cell2,cell2_2,cell2_2,NA,FOV7-2,1.283412,1.383509,1.105572,1.284849
C57 3163,f,saline,c57,cell2,cell2_3,cell2_3,NA,FOV8-1,1.189378,1.242747,1.234274,1.217580
C57 3163,f,saline,c57,cell2,cell2_4,cell2_4,NA,FOV9-1,1.387866,1.190266,1.116166,1.562163
C57 JAX,m,saline,c57,cell2,cell2_1,NA,490,FOV1-1,0.877262,1.149236,1.238129,1.092152
C57 JAX,m,saline,c57,cell4,cell4_1,NA,560,FOV2-1,1.566392,1.237999,1.236235,1.349518
C57 JAX,m,saline,c57,cell3,cell3_1,cell3_1,550,FOV5-1,1.310253,1.305642,1.305924,1.379970
C57 JAX,m,saline,c57,cell1,cell1_1,NA,475,FOV7-1,1.251323,1.208917,1.229340,1.339910
C57 JAX,m,saline,c57,cell5,cell5_1,cell5_1,484,FOV9-1,1.427660,1.331639,1.214670,1.310088
C57 JAX,m,saline,c57,NA,NA,NA,NA,FOV10-1,1.414270,1.456339,1.522481,1.345052
C57 JAX,m,saline,c57,cell5,cell5_2,cell5_2,484,FOV11-1,1.077065,0.991990,1.053455,1.145700
C57 JAX,m,saline,c57,cell6,cell6_1,cell6_1,530,FOV14-1,1.249950,1.380236,1.170934,1.297331
C57 JAX,m,saline,c57,cell6,cell6_2,cell6_2,530,FOV17-1,1.197224,1.511640,1.352230,1.292582
C57 JAX,m,saline,c57,cell6,cell6_3,cell6_3,530,FOV18-1,1.317270,1.380945,1.285289,1.362156
C57 JAX,m,saline,c57,cell3,cell3_2,cell3_2,550,FOV19-1,1.234485,1.347868,1.270286,1.350102
C57 JAX,m,saline,c57,cell5,cell5_3,cell5_3,484,FOV22-1,1.259593,1.403521,1.227330,1.247786
C57 JAX,m,saline,c57,cell6,cell6_4,cell6_4,530,FOV24-1,1.322100,1.083030,1.165985,1.144536
C57 JAX,m,saline,c57,cell6,cell6_5,cell6_5,530,FOV26-1,1.438320,1.328990,1.360723,1.341347
C57 549160-2,m,saline,c57,NA,NA,NA,NA,FOV16-1,1.368190,1.292190,1.334859,1.388330
C57 549160-2,m,saline,c57,NA,NA,NA,NA,FOV17-1,1.230285,1.254143,1.152392,1.142128
C57 549160-2,m,saline,c57,NA,NA,NA,NA,FOV23-1,1.534899,1.519430,1.312330,1.369900
C57 842,m,saline,c57,NA,NA,NA,NA,FOV2-1,1.202890,1.309649,1.276496,1.085004
C57 842,m,saline,c57,NA,NA,NA,NA,FOV3-1,1.290369,1.334541,1.226849,1.342557